fund_name,expense_ratio,fund_manager_name,fund_manager_teneur,fund_manager_experience,fund_manager_prev_funds,fund_manager_prev_total_funds,fund_type,category,risk,nav,fund_size,overall_return,rank,AUM
HDFC Flexi Cap Direct Plan Growth,0.77,"[""Roshi Jain"", ""Dhruv Muchhal""]","[""Jul 2022 - Present"", ""Jun 2023 - Present""]","[[""Ms. Jain is a CFA, ACA and PGDM."", ""Prior to joining HDFC Asset Management Company Limited, she has worked with Franklin Templeton Investments, Goldman Sachs, London, Goldman Sachs, Singapore, Wipro Ltd. and S. R. Batliboi & Co.""], [""Mr. Dhruv has done B.Com, CA and CFA"", ""Prior to joining HDFC MF,he has worked with Motilal Oswal Financial Services Ltd., Goldman Sachs, CRISIL Global Research & Analytics and Deloitte Haskins & Sells""]]","[[""Franklin India Bluechip Direct Fund Growth"", ""Franklin Build India Direct Fund Growth"", ""Franklin Asian Equity Direct Fund Growth"", ""Franklin India Focused Equity Fund Direct Growth"", ""HDFC Focused 30 Fund Direct Plan Growth"", ""HDFC Flexi Cap Direct Plan Growth"", ""HDFC ELSS Tax Saver Direct Plan Growth""], [""HDFC Arbitrage Direct Plan Growth"", ""HDFC Capital Builder Value Fund Direct Plan Growth"", ""HDFC Low Duration Fund Direct Plan Growth"", ""HDFC Focused 30 Fund Direct Plan Growth"", ""HDFC Flexi Cap Direct Plan Growth"", ""HDFC Floating Rate Debt Fund Direct Plan Growth"", ""HDFC Balanced Advantage Fund Direct Plan Growth"", ""HDFC Infrastructure Direct Plan Growth"", ""HDFC Corporate Bond Fund Direct Plan Growth"", ""HDFC Mid Cap Opportunities Direct Plan Growth"", ""HDFC Short Term Debt Fund Direct Plan Growth"", ""HDFC Top 100 Fund Direct Plan Growth"", ""HDFC ELSS Tax Saver Direct Plan Growth"", ""HDFC Hybrid Equity Fund Direct Plan Growth"", ""HDFC Children's Gift Fund Direct Plan"", ""HDFC Income Direct Plan Growth"", ""HDFC Dynamic Debt Fund Direct Plan Growth"", ""HDFC Medium Term Debt Fund Direct Plan Growth"", ""HDFC Liquid Direct Plan Growth"", ""HDFC Money Market Fund Direct Plan Growth"", ""HDFC Overnight Fund Direct Plan Growth"", ""HDFC Hybrid Debt Fund Direct Growth"", ""HDFC Equity Savings Direct Plan Growth"", ""HDFC Multi Asset Fund Direct Growth"", ""HDFC Credit Risk Debt Fund Direct Growth"", ""HDFC Banking and PSU Debt Fund Direct Growth"", ""HDFC Arbitrage Fund Wholesale Direct Growth"", ""HDFC Large and Mid Cap Fund Direct Growth"", ""HDFC Small Cap Fund Direct Growth"", ""HDFC Retirement Savings Fund Equity Plan Direct Growth"", ""HDFC Retirement Savings Fund Hybrid Equity Plan Direct Growth"", ""HDFC Retirement Savings Fund Hybrid Debt Plan Direct Growth"", ""HDFC Housing Opportunities Fund Direct Growth"", ""HDFC Ultra Short Term Fund Direct Growth"", ""HDFC Banking & Financial Services Fund Direct Growth"", ""HDFC Multi Cap Fund Direct Growth"", ""HDFC Business Cycle Fund Direct Growth"", ""HDFC Long Duration Debt Fund Direct Growth"", ""HDFC MNC Fund Direct Growth"", ""HDFC Defence Fund Direct Growth"", ""HDFC Non Cyclical Consumer Fund Direct Growth"", ""HDFC Transportation and Logistics Fund Direct Growth"", ""HDFC Technology Fund Direct Growth"", ""HDFC Pharma And Healthcare Fund Direct Growth""]]","[7, 44]",Equity,Flexi Cap,Very High Risk,2001.46,61571.57,17.8,2,713538.32
SBI Small Cap Fund Direct Growth,0.65,"[""Mohan Lal""]","[""May 2024 - Present""]","[[""Mr. Mohan has done Post graduate diploma in Management"", ""Prior to joining SBI Mutual Fund, he has worked with Kotak Securities Ltd and Elara Securities (India) Pvt Ltd""]]","[[""SBI Small Cap Fund Direct Growth"", ""SBI Long Term Advantage Fund Series V Direct Growth""]]",[2],Equity,Small Cap,Very High Risk,204.1,32761.17,26.8,1,1037900.38
Quant Mid Cap Fund Direct Growth,0.58,"[""Sanjeev Sharma"", ""Vasav Sahgal"", ""Ankit A Pande""]","[""Oct 2019 - Present"", ""Apr 2022 - Present"", ""May 2020 - Present""]","[[""Mr. Sharma is a Commerce Graduate and PGDBA (Finance) from Symbiosis, Pune."", ""He has total work experience of 17 years including 13 years of experience in the financial market. He specializes in identifying crucial inflexion points in securities.""], [""B.Com. and CFA"", ""Prior to joining Quant Mutual Fund, he has worked with Eqestar capital as Equity Research Analyst.""], [""Mr. Pande has done CFA and MBA"", ""Prior to joining Quant Mutual Fund he has worked with Infosys Finacle. Began his career in equity research in 2011.""]]","[[""Quant Absolute Fund Direct Growth"", ""Quant Multi Asset Fund Direct Growth"", ""Quant Active Fund Direct Growth"", ""Quant Large and Mid Cap Fund Direct Growth"", ""Quant Small Cap Fund Direct Plan Growth"", ""Quant Dynamic Bond Fund Direct Growth"", ""Quant Infrastructure Fund Direct Growth"", ""Quant Focused Fund Direct Growth"", ""Quant Liquid Direct Fund Growth"", ""Quant Mid Cap Fund Direct Growth"", ""Quant Flexi Cap Fund Direct Growth"", ""Quant Money Market Fund Direct Growth"", ""Quant ELSS Tax Saver Fund Direct Growth"", ""Quant ESG Equity Fund Direct Growth"", ""Quant Quantamental Fund Direct Growth"", ""Quant Value Fund Direct Growth"", ""Quant Large Cap Fund Direct Growth"", ""Quant Overnight Fund Direct Growth"", ""Quant Gilt Fund Direct Growth"", ""Quant Dynamic Asset Allocation Fund Direct Growth"", ""Quant Business Cycle Fund Direct Growth"", ""Quant BFSI Fund Direct Growth"", ""Quant Healthcare Fund Direct Growth"", ""Quant Manufacturing Fund Direct Growth"", ""Quant Teck Fund Direct Growth"", ""Quant Momentum Fund Direct Growth""], [""Quant Absolute Fund Direct Growth"", ""Quant Multi Asset Fund Direct Growth"", ""Quant Active Fund Direct Growth"", ""Quant Large and Mid Cap Fund Direct Growth"", ""Quant Small Cap Fund Direct Plan Growth"", ""Quant Dynamic Bond Fund Direct Growth"", ""Quant Infrastructure Fund Direct Growth"", ""Quant Focused Fund Direct Growth"", ""Quant Mid Cap Fund Direct Growth"", ""Quant Flexi Cap Fund Direct Growth"", ""Quant ELSS Tax Saver Fund Direct Growth"", ""Quant ESG Equity Fund Direct Growth"", ""Quant Quantamental Fund Direct Growth"", ""Quant Value Fund Direct Growth"", ""Quant Large Cap Fund Direct Growth"", ""Quant Dynamic Asset Allocation Fund Direct Growth"", ""Quant Business Cycle Fund Direct Growth"", ""Quant BFSI Fund Direct Growth"", ""Quant Healthcare Fund Direct Growth"", ""Quant Manufacturing Fund Direct Growth"", ""Quant Teck Fund Direct Growth"", ""Quant Momentum Fund Direct Growth""], [""Quant Absolute Fund Direct Growth"", ""Quant Multi Asset Fund Direct Growth"", ""Quant Active Fund Direct Growth"", ""Quant Large and Mid Cap Fund Direct Growth"", ""Quant Small Cap Fund Direct Plan Growth"", ""Quant Dynamic Bond Fund Direct Growth"", ""Quant Infrastructure Fund Direct Growth"", ""Quant Focused Fund Direct Growth"", ""Quant Mid Cap Fund Direct Growth"", ""Quant Flexi Cap Fund Direct Growth"", ""Quant ELSS Tax Saver Fund Direct Growth"", ""Quant ESG Equity Fund Direct Growth"", ""Quant Quantamental Fund Direct Growth"", ""Quant Value Fund Direct Growth"", ""Quant Large Cap Fund Direct Growth"", ""Quant Dynamic Asset Allocation Fund Direct Growth"", ""Quant Business Cycle Fund Direct Growth"", ""Quant BFSI Fund Direct Growth"", ""Quant Healthcare Fund Direct Growth"", ""Quant Manufacturing Fund Direct Growth"", ""Quant Teck Fund Direct Growth"", ""Quant Momentum Fund Direct Growth""]]","[26, 22, 22]",Equity,Mid Cap,Very High Risk,270.75,9282.92,20.5,34,90625.81
HDFC Mid Cap Opportunities Direct Plan Growth,0.72,"[""Chirag Setalvad"", ""Dhruv Muchhal""]","[""Jan 2013 - Present"", ""Jun 2023 - Present""]","[[""Mr. Setalvad is a B. Sc and MBA from University of North Carolina."", ""Prior to joining HDFC AMC he has worked with New Vernon Advisory Services Ltd., HDFC AMC and ING Barings N.V.""], [""Mr. Dhruv has done B.Com, CA and CFA"", ""Prior to joining HDFC MF,he has worked with Motilal Oswal Financial Services Ltd., Goldman Sachs, CRISIL Global Research & Analytics and Deloitte Haskins & Sells""]]","[[""HDFC Long Term Advantage Direct Plan Growth"", ""HDFC Mid Cap Opportunities Direct Plan Growth"", ""HDFC Hybrid Equity Fund Direct Plan Growth"", ""HDFC Children's Gift Fund Direct Plan"", ""HDFC Multi Asset Fund Direct Growth"", ""HDFC Small Cap Fund Direct Growth"", ""HDFC Retirement Savings Fund Equity Plan Direct Growth"", ""HDFC Retirement Savings Fund Hybrid Equity Plan Direct Growth"", ""HDFC Retirement Savings Fund Hybrid Debt Plan Direct Growth""], [""HDFC Arbitrage Direct Plan Growth"", ""HDFC Capital Builder Value Fund Direct Plan Growth"", ""HDFC Low Duration Fund Direct Plan Growth"", ""HDFC Focused 30 Fund Direct Plan Growth"", ""HDFC Flexi Cap Direct Plan Growth"", ""HDFC Floating Rate Debt Fund Direct Plan Growth"", ""HDFC Balanced Advantage Fund Direct Plan Growth"", ""HDFC Infrastructure Direct Plan Growth"", ""HDFC Corporate Bond Fund Direct Plan Growth"", ""HDFC Mid Cap Opportunities Direct Plan Growth"", ""HDFC Short Term Debt Fund Direct Plan Growth"", ""HDFC Top 100 Fund Direct Plan Growth"", ""HDFC ELSS Tax Saver Direct Plan Growth"", ""HDFC Hybrid Equity Fund Direct Plan Growth"", ""HDFC Children's Gift Fund Direct Plan"", ""HDFC Income Direct Plan Growth"", ""HDFC Dynamic Debt Fund Direct Plan Growth"", ""HDFC Medium Term Debt Fund Direct Plan Growth"", ""HDFC Liquid Direct Plan Growth"", ""HDFC Money Market Fund Direct Plan Growth"", ""HDFC Overnight Fund Direct Plan Growth"", ""HDFC Hybrid Debt Fund Direct Growth"", ""HDFC Equity Savings Direct Plan Growth"", ""HDFC Multi Asset Fund Direct Growth"", ""HDFC Credit Risk Debt Fund Direct Growth"", ""HDFC Banking and PSU Debt Fund Direct Growth"", ""HDFC Arbitrage Fund Wholesale Direct Growth"", ""HDFC Large and Mid Cap Fund Direct Growth"", ""HDFC Small Cap Fund Direct Growth"", ""HDFC Retirement Savings Fund Equity Plan Direct Growth"", ""HDFC Retirement Savings Fund Hybrid Equity Plan Direct Growth"", ""HDFC Retirement Savings Fund Hybrid Debt Plan Direct Growth"", ""HDFC Housing Opportunities Fund Direct Growth"", ""HDFC Ultra Short Term Fund Direct Growth"", ""HDFC Banking & Financial Services Fund Direct Growth"", ""HDFC Multi Cap Fund Direct Growth"", ""HDFC Business Cycle Fund Direct Growth"", ""HDFC Long Duration Debt Fund Direct Growth"", ""HDFC MNC Fund Direct Growth"", ""HDFC Defence Fund Direct Growth"", ""HDFC Non Cyclical Consumer Fund Direct Growth"", ""HDFC Transportation and Logistics Fund Direct Growth"", ""HDFC Technology Fund Direct Growth"", ""HDFC Pharma And Healthcare Fund Direct Growth""]]","[9, 44]",Equity,Mid Cap,Very High Risk,202.49,75382.3,22.6,2,713538.32
Quant Infrastructure Fund Direct Growth,0.66,"[""Vasav Sahgal"", ""Ankit A Pande""]","[""Apr 2022 - Present"", ""May 2020 - Present""]","[[""B.Com. and CFA"", ""Prior to joining Quant Mutual Fund, he has worked with Eqestar capital as Equity Research Analyst.""], [""Mr. Pande has done CFA and MBA"", ""Prior to joining Quant Mutual Fund he has worked with Infosys Finacle. Began his career in equity research in 2011.""]]","[[""Quant Absolute Fund Direct Growth"", ""Quant Multi Asset Fund Direct Growth"", ""Quant Active Fund Direct Growth"", ""Quant Large and Mid Cap Fund Direct Growth"", ""Quant Small Cap Fund Direct Plan Growth"", ""Quant Dynamic Bond Fund Direct Growth"", ""Quant Infrastructure Fund Direct Growth"", ""Quant Focused Fund Direct Growth"", ""Quant Mid Cap Fund Direct Growth"", ""Quant Flexi Cap Fund Direct Growth"", ""Quant ELSS Tax Saver Fund Direct Growth"", ""Quant ESG Equity Fund Direct Growth"", ""Quant Quantamental Fund Direct Growth"", ""Quant Value Fund Direct Growth"", ""Quant Large Cap Fund Direct Growth"", ""Quant Dynamic Asset Allocation Fund Direct Growth"", ""Quant Business Cycle Fund Direct Growth"", ""Quant BFSI Fund Direct Growth"", ""Quant Healthcare Fund Direct Growth"", ""Quant Manufacturing Fund Direct Growth"", ""Quant Teck Fund Direct Growth"", ""Quant Momentum Fund Direct Growth""], [""Quant Absolute Fund Direct Growth"", ""Quant Multi Asset Fund Direct Growth"", ""Quant Active Fund Direct Growth"", ""Quant Large and Mid Cap Fund Direct Growth"", ""Quant Small Cap Fund Direct Plan Growth"", ""Quant Dynamic Bond Fund Direct Growth"", ""Quant Infrastructure Fund Direct Growth"", ""Quant Focused Fund Direct Growth"", ""Quant Mid Cap Fund Direct Growth"", ""Quant Flexi Cap Fund Direct Growth"", ""Quant ELSS Tax Saver Fund Direct Growth"", ""Quant ESG Equity Fund Direct Growth"", ""Quant Quantamental Fund Direct Growth"", ""Quant Value Fund Direct Growth"", ""Quant Large Cap Fund Direct Growth"", ""Quant Dynamic Asset Allocation Fund Direct Growth"", ""Quant Business Cycle Fund Direct Growth"", ""Quant BFSI Fund Direct Growth"", ""Quant Healthcare Fund Direct Growth"", ""Quant Manufacturing Fund Direct Growth"", ""Quant Teck Fund Direct Growth"", ""Quant Momentum Fund Direct Growth""]]","[22, 22]",Equity,Sectoral / Thematic,Very High Risk,45.87,4103.61,20.4,34,90625.81
ICICI Prudential Bluechip Fund Direct Growth,0.87,"[""Anish Tawakley"", ""Vaibhav Dusad"", ""Sharmila D'mello""]","[""Sep 2018 - Present"", ""Jan 2021 - Present"", ""Jul 2022 - Present""]","[[""Mr. Tawakley has done PGDM (MBA) from IIM Bangalore and B. Tech (Mechanical Engineering) from IIT Delhi"", ""Prior joining to ICICI AMC he has worked with Barclays India - Equity Research, Credit Suisse India - Equity research - Indian financial services sector,""], [""Mr. Dusad has done B.Tech, M.Tech and MBA"", ""Prior to joining ICICI Prudential AMC Ltd, he has worked with Morgan Stanley, HSBC Global Banking and Markets, CRISIL, Zinnov Mangement Consulting and Citibank Singapore.""], [""Ms. D'mello is CA and BAF"", ""She joined ICICI Prudential AMC Limited in September 2016.""]]","[[""ICICI Prudential Bluechip Fund Direct Growth"", ""ICICI Prudential Smallcap Fund Direct Plan Growth"", ""ICICI Prudential Focused Equity Fund Direct Growth"", ""ICICI Prudential Bharat Consumption Fund Series 1 Direct Growth"", ""ICICI Prudential Bharat Consumption Fund Series 3 Direct Growth"", ""ICICI Prudential Manufacturing Fund Direct Growth"", ""ICICI Prudential MNC Fund Direct Growth"", ""ICICI Prudential Business Cycle Fund Direct Growth"", ""ICICI Prudential Innovation Fund Direct Growth""], [""ICICI Prudential Bluechip Fund Direct Growth"", ""ICICI Prudential Technology Direct Plan Growth"", ""ICICI Prudential Exports and Services Fund Direct Growth"", ""ICICI Prudential Focused Equity Fund Direct Growth"", ""ICICI Prudential MNC Fund Direct Growth"", ""ICICI Prudential Innovation Fund Direct Growth""], [""ICICI Prudential US Bluechip Equity Direct Plan Growth"", ""ICICI Prudential Liquid Fund Direct Plan Growth"", ""ICICI Prudential Passive Strategy Fund (FOF) Direct Growth"", ""ICICI Prudential Banking and Financial Services Direct Plan Growth"", ""ICICI Prudential Equity & Debt Fund Direct Growth"", ""ICICI Prudential Income Optimizer Fund (FOF) Direct Growth"", ""ICICI Prudential Value Discovery Direct Growth"", ""ICICI Prudential Multi Asset Fund Direct Growth"", ""ICICI Prudential Equity Arbitrage Direct Growth"", ""ICICI Prudential Balanced Advantage Direct Growth"", ""ICICI Prudential Midcap Direct Plan Growth"", ""ICICI Prudential Child Care Gift Fund Direct Plan"", ""ICICI Prudential Bluechip Fund Direct Growth"", ""ICICI Prudential Smallcap Fund Direct Plan Growth"", ""ICICI Prudential ELSS Tax Saver Direct Plan Growth"", ""ICICI Prudential Technology Direct Plan Growth"", ""ICICI Prudential Large & Mid Cap Fund Direct Plan Growth"", ""ICICI Prudential Multicap Fund Direct Plan Growth"", ""ICICI Prudential Regular Savings Fund Direct Growth"", ""ICICI Prudential Infrastructure Direct Growth"", ""ICICI Prudential Exports and Services Fund Direct Growth"", ""ICICI Prudential Focused Equity Fund Direct Growth"", ""ICICI Prudential Global Stable Equity Fund (FOF) Direct Growth"", ""ICICI Prudential Dividend Yield Equity Fund Direct Growth"", ""ICICI Prudential Equity Savings Fund Direct Growth"", ""ICICI Prudential Long Term Wealth Enhancement Fund Direct Growth"", ""ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund Direct Growth"", ""ICICI Prudential Manufacturing Fund Direct Growth"", ""ICICI Prudential India Opportunities Fund Direct Growth"", ""ICICI Prudential Retirement Fund Pure Equity Plan Direct Growth"", ""ICICI Prudential Retirement Fund Hybrid Conservative Plan Direct Growth"", ""ICICI Prudential Retirement Fund Hybrid Aggressive Plan Direct Growth"", ""ICICI Prudential Retirement Fund Pure Debt Plan Direct Growth"", ""ICICI Prudential MNC Fund Direct Growth"", ""ICICI Prudential Global Advantage Fund (FOF) Direct Growth"", ""ICICI Prudential Commodities Fund Direct Growth"", ""ICICI Prudential India Equity FOF Direct Growth"", ""ICICI Prudential ESG Exclusionary Strategy Fund Direct Growth"", ""ICICI Prudential Business Cycle Fund Direct Growth"", ""ICICI Prudential Flexicap Fund Direct Growth"", ""ICICI Prudential NASDAQ 100 Index Fund Direct Growth"", ""ICICI Prudential Passive Multi Asset FoF Direct Growth"", ""ICICI Prudential Strategic Metal and Energy Equity FoF Direct Growth"", ""ICICI Prudential Housing Opportunities Fund Direct Growth"", ""ICICI Prudential Transportation and Logistics Fund Direct Growth"", ""ICICI Prudential Innovation Fund Direct Growth"", ""ICICI Prudential Energy Opportunities Fund Direct Growth""]]","[9, 6, 47]",Equity,Large Cap,Very High Risk,116.67,62717.11,17.1,3,781394.3
Axis Small Cap Fund Direct Growth,0.54,"[""Tejas Sheth""]","[""May 2024 - Present""]","[[""Mr. Sheth has done PG Diploma in Management."", ""Prior to joining Axis Mutual Fund he has worked with Nippon India Mutual Fund, Emkay Global Financial Services Ltd., Fortune Financial Pvt. Ltd. and Darashaw & Co. Pvt. Ltd.""]]","[[""Nippon India Growth Fund Direct Growth"", ""Nippon India Small Cap Fund Direct Growth"", ""Axis Small Cap Fund Direct Growth"", ""Nippon India Multi Asset Allocation Fund Direct Growth""]]",[4],Equity,Small Cap,Very High Risk,118.32,23399.15,25.8,7,292314.38
Motilal Oswal Nifty India Defence Index Fund Direct Growth,0.31,"[""Swapnil P Mayekar"", ""Rakesh Shetty""]","[""Jun 2024 - Present"", ""Jun 2024 - Present""]","[[""Mr. Mayekar is an M.Com from Mumbai University and also holds an Advanced Diploma in Business Administration from Welingkar, Mumbai."", ""Prior to joining Motilal Oswal AMC he worked with Business Standard Limited from Aug 2005 to Feb 2010.""], [""Mr. Shetty has done B.Com"", ""Prior to joining Motilal Oswal Mutual Fund, he has worked with Company engaged in Capital Market Business wherein he was in charge of equity and debt ETFs, customized indices and has also been part of product development.""]]","[[""Motilal Oswal Flexi Cap Fund Direct Growth"", ""Motilal Oswal Nasdaq 100 FOF Direct Growth"", ""Motilal Oswal Nifty Bank Index Fund Direct Growth"", ""Motilal Oswal Nifty Midcap 150 Index Fund Direct Growth"", ""Motilal Oswal Nifty Smallcap 250 Index Fund Direct Growth"", ""Motilal Oswal Nifty 500 Index Fund Direct Growth"", ""Motilal Oswal Nifty 50 Index Fund Direct Growth"", ""Motilal Oswal Nifty Next 50 Index Fund Direct Growth"", ""Motilal Oswal Multi Asset Fund Direct Growth"", ""Motilal Oswal Asset Allocation Passive FoF Aggressive Direct Growth"", ""Motilal Oswal Asset Allocation Passive FoF Conservative Direct Growth"", ""Motilal Oswal Nifty 200 Momentum 30 Index Fund Direct Growth"", ""Motilal Oswal BSE Low Volatility Index Fund Direct Growth"", ""Motilal Oswal BSE Financials ex Bank 30 Index Fund Direct Growth"", ""Motilal Oswal BSE Enhanced Value Index Fund Direct Growth"", ""Motilal Oswal BSE Quality Index Fund Direct Growth"", ""Motilal Oswal Nifty Microcap 250 Index Fund Direct Growth"", ""Motilal Oswal Nifty India Defence Index Fund Direct Growth""], [""Motilal Oswal Focused Fund Direct Growth"", ""Motilal Oswal Ultra Short Term Fund Direct Growth"", ""Motilal Oswal Midcap Fund Direct Growth"", ""Motilal Oswal Flexi Cap Fund Direct Growth"", ""Motilal Oswal ELSS Tax Saver Fund Direct Growth"", ""Motilal Oswal Balance Advantage Fund Direct Growth"", ""Motilal Oswal Equity Hybrid Fund Direct Growth"", ""Motilal Oswal Nasdaq 100 FOF Direct Growth"", ""Motilal Oswal Liquid Fund Direct Growth"", ""Motilal Oswal Large and Midcap Fund Direct Growth"", ""Motilal Oswal S&P 500 Index Fund Direct Growth"", ""Motilal Oswal Multi Asset Fund Direct Growth"", ""Motilal Oswal Asset Allocation Passive FoF Aggressive Direct Growth"", ""Motilal Oswal Asset Allocation Passive FoF Conservative Direct Growth"", ""Motilal Oswal 5 Year G Sec FoF Direct Growth"", ""Motilal Oswal MSCI EAFE Top 100 Select Index Fund Direct Growth"", ""Motilal Oswal Nifty 200 Momentum 30 Index Fund Direct Growth"", ""Motilal Oswal BSE Low Volatility Index Fund Direct Growth"", ""Motilal Oswal BSE Financials ex Bank 30 Index Fund Direct Growth"", ""Motilal Oswal BSE Enhanced Value Index Fund Direct Growth"", ""Motilal Oswal BSE Quality Index Fund Direct Growth"", ""Motilal Oswal Gold and Silver ETFs FoF Direct Growth"", ""Motilal Oswal Developed Market Ex US ETFs FoF Direct Growth"", ""Motilal Oswal Multi Cap Fund Direct Growth"", ""Motilal Oswal Nifty India Defence Index Fund Direct Growth"", ""Motilal Oswal Manufacturing Fund Direct Growth"", ""Motilal Oswal Business Cycle Fund Direct Growth""]]","[18, 27]",Other,Index,Very High Risk,9.29,2330.75,-5.4,19,61382.27
Invesco India PSU Equity Fund Direct Growth,0.77,"[""Dhimant Kothari""]","[""May 2020 - Present""]","[[""Mr. Kothari is a Chartered Accountant and holds a Commerce degree."", ""In his last assignment, he was working as Senior Manager \u2013 Research with Credit Analysis and Research Ltd., His other assignments include Lotus India Asset Management and CRISIL Ltd.""]]","[[""Invesco India Balanced Advantage Fund Direct Growth"", ""Invesco India Contra Fund Direct Growth"", ""Invesco India Financial Services Fund Direct Growth"", ""Invesco India Largecap Fund Direct Growth"", ""Invesco India PSU Equity Fund Direct Growth"", ""Invesco India Multicap Fund Direct Growth"", ""Invesco India ELSS Tax Saver Fund Direct Growth"", ""Invesco India Aggressive Hybrid Fund Direct Growth"", ""Invesco India Equity Savings Fund Direct Growth"", ""Invesco India Manufacturing Fund Direct Growth""]]",[10],Equity,Sectoral / Thematic,Very High Risk,78.73,1663.11,18.9,16,87668.21
SBI Contra Direct Plan Growth,0.59,"[""Dinesh Balachandran"", ""Pradeep Kesavan""]","[""May 2018 - Present"", ""Dec 2023 - Present""]","[[""Mr.Dinesh is a B.Tech from IIT-B, M.S. from MIT USA and CFA."", ""Prior to joining SBI Funds Management Pvt. Ltd. he has worked with Fidelity Investments, USA.""], [""Mr. Kesavan has done B.Com, MBA (Finance) and CFA"", ""Prior to joining SBI MF, he has worked with Elara Capital, Accenture Strategy, Morgan Stanley and 3i Infotech""]]","[[""SBI Magnum COMMA Fund Direct Growth"", ""SBI Long Term Equity Fund Direct Plan Growth"", ""SBI Contra Direct Plan Growth"", ""SBI Multi Asset Allocation Fund Direct Growth"", ""SBI Dynamic Asset Allocation Fund Direct Growth"", ""SBI Balanced Advantage Fund Direct Growth""], [""SBI Bluechip Direct Plan Growth"", ""SBI Equity Hybrid Fund Direct Plan Growth"", ""SBI Dynamic Bond Direct Plan Growth"", ""SBI Infrastructure Fund Direct Growth"", ""SBI Magnum COMMA Fund Direct Growth"", ""SBI ESG Exclusionary Strategy Fund Direct Plan Growth"", ""SBI Magnum Global Direct Plan Growth"", ""SBI Magnum Income Direct Plan Growth"", ""SBI Magnum Mid Cap Direct Plan Growth"", ""SBI Flexicap Fund Direct Growth"", ""SBI Magnum Children's Benefit Fund Savings Plan Direct"", ""SBI Large & Midcap Fund Direct Plan Growth"", ""SBI Focused Equity Fund Direct Plan Growth"", ""SBI Healthcare Opportunities Fund Direct Plan Growth"", ""SBI Gold Direct Plan Growth"", ""SBI Credit Risk Fund Direct Growth"", ""SBI Magnum Low Duration Fund Direct Plan Growth"", ""SBI Short Term Debt Fund Direct Growth"", ""SBI Savings Fund Direct Growth"", ""SBI Magnum Medium Duration Fund Direct Growth"", ""SBI Nifty Index Direct Plan Growth"", ""SBI Magnum Ultra Short Duration Fund Direct Growth"", ""SBI Contra Direct Plan Growth"", ""SBI Conservative Hybrid Fund Direct Growth"", ""SBI Multi Asset Allocation Fund Direct Growth"", ""SBI Consumption Opportunities Fund Direct Growth"", ""SBI Technology Opportunities Fund Direct Growth"", ""SBI Small Cap Fund Direct Growth"", ""SBI Banking and PSU Fund Direct Growth"", ""SBI Banking & Financial Services Fund Direct Growth"", ""SBI Equity Savings Fund Direct Growth"", ""SBI Corporate Bond Fund Direct Growth"", ""SBI Equity Minimum Variance Fund Direct Growth"", ""SBI Magnum Children's Benefit Fund Investment Plan Direct Growth"", ""SBI Floating Rate Debt Fund Direct Growth"", ""SBI Retirement Benefit Fund Aggressive Plan Direct Growth"", ""SBI Retirement Benefit Fund Aggressive Hybrid Plan Direct Growth"", ""SBI Retirement Benefit Fund Conservative Plan Direct Growth"", ""SBI Retirement Benefit Fund Conservative Hybrid Plan Direct Growth"", ""SBI International Access US Equity FoF Direct Growth"", ""SBI Balanced Advantage Fund Direct Growth"", ""SBI Multicap Fund Direct Growth"", ""SBI Automotive Opportunities Fund Direct Growth"", ""SBI Innovative Opportunities Fund Direct Growth""]]","[6, 44]",Equity,Contra,Very High Risk,421.54,37845.69,18.3,1,1037900.38
